Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B04_01,21011016,99.64,13615220,65.03,57.25,2748175,1.18,0.867,0.71,0.028,script_rnaseq_batch_04,batch_04
RNA_B04_02,18022310,99,11024371,61.79,64.07,2108951,1.98,1.622,1.27,0.067,script_rnaseq_batch_04,batch_04
RNA_B04_03,18983598,99.16,8197928,43.55,63.61,1105252,0.43,1.455,0.28,0.042,script_rnaseq_batch_04,batch_04
RNA_B04_04,19683950,99.58,13177707,67.23,69.47,1380949,1.24,1.057,0.98,0.029,script_rnaseq_batch_04,batch_04
RNA_B04_05,18159785,99.66,11781788,65.1,64.38,717239,0.51,0.649,0.35,0.02,script_rnaseq_batch_04,batch_04
RNA_B04_06,20852312,99.78,11051009,53.12,65.61,1175784,0.61,0.874,0.54,0.022,script_rnaseq_batch_04,batch_04
RNA_B04_07,21213921,99.78,13935538,65.84,65.76,1297796,1.19,0.917,1.05,0.023,script_rnaseq_batch_04,batch_04
RNA_B04_08,21327605,99.68,13174703,61.97,66.06,1820346,1.82,1.372,0.98,0.031,script_rnaseq_batch_04,batch_04
RNA_B04_09,18417197,98.54,5528642,30.46,62.98,703212,0.11,1.828,0.11,0.083,script_rnaseq_batch_04,batch_04
RNA_B04_10,20423091,99.52,12733805,62.65,71.34,1493256,0.96,1.129,0.65,0.038,script_rnaseq_batch_04,batch_04
RNA_B04_11,18112380,96.89,2417683,13.78,58.29,325215,0,3.08,0,0.142,script_rnaseq_batch_04,batch_04
RNA_B04_12,19164396,99.07,7099429,37.39,57,562961,0,1.448,0,0.057,script_rnaseq_batch_04,batch_04
RNA_B04_13,20189795,99.32,13602497,67.83,65.12,1403679,0.44,1.26,0.28,0.05,script_rnaseq_batch_04,batch_04
RNA_B04_14,22062586,99.28,13786364,62.94,62.66,1434914,0.58,1.336,0.32,0.047,script_rnaseq_batch_04,batch_04
RNA_B04_15,20837014,99.58,14004777,67.49,60.58,1163090,0.54,1.01,0.2,0.03,script_rnaseq_batch_04,batch_04
RNA_B04_16,19074154,99.12,13553727,71.69,69.01,1409395,0.96,1.589,0.46,0.051,script_rnaseq_batch_04,batch_04
RNA_B04_17,21364454,99.68,11718421,55.02,69.51,989337,0.32,0.842,0.11,0.03,script_rnaseq_batch_04,batch_04
RNA_B04_18,10395887,99.62,2827408,27.3,60.22,344890,0,1.219,0,0.041,script_rnaseq_batch_04,batch_04
RNA_B04_19,20170696,99.7,8236685,40.96,68.43,820592,0,0.891,0,0.031,script_rnaseq_batch_04,batch_04
RNA_B04_20,18674465,99.86,8545198,45.82,67.7,641937,0,0.604,0,0.019,script_rnaseq_batch_04,batch_04
RNA_B04_21,20171534,99.64,13810259,68.71,70.18,1524722,0.98,0.902,0.45,0.032,script_rnaseq_batch_04,batch_04
RNA_B04_22,19763226,98.87,9473720,48.49,65.43,954745,0.3,1.637,0.12,0.065,script_rnaseq_batch_04,batch_04
RNA_B04_23,21148924,99.62,15888194,75.41,70.66,1211816,0.57,0.672,0.37,0.026,script_rnaseq_batch_04,batch_04
RNA_B04_24,17228299,99.79,12150055,70.67,56.02,863741,0.59,0.703,0.36,0.02,script_rnaseq_batch_04,batch_04
